"movie_rank","movie_name","release_year","release_season","duration","imdb_rate","vote_count","genre1","genre2","genre3","country","language_","box_office","age_group_rate"
1,"The Shawshank Redemption",1994,"autumn","2h 22m",9.3,"3.1m","epic","drama","prison drama","US","english",28784937,"R"
2,"The Godfather",1972,"spring","2h 55m",9.2,"2.2m","crime","tragedy","drama","US","english italian",250342198,"R"
3,"The Dark Knight",2008,"summer","2h 32m",9.1,"3.1m","epic","action","superhero","US","english",1009057329,"PG-13"
4,"The Godfather Part II",1974,"winter","3h 22m",9.0,"1.4m","tragedy","crime","drama","US","english italian",88000000,"R"
5,"12 Angry Men",1957,"spring","1h 36m",9.0,"946k","drama","crime","psychological","US","english",2945,"Approved"
6,"The Lord of the Rings: The Return of the King",2003,"winter","3h 21m",9.0,"2.1m","epic","drama","quest","US","english",1118000000,"PG-13"
7,"Schindler's List",1993,"winter","3h 15m",9.0,"1.5m","history","drama","tragedy","US","english",322161245,"R"
8,"Pulp Fiction",1994,"autumn","2h 34m",8.8,"2.4m","drama","crime","dark comedy","US","english",212891598,"R"
9,"The Lord of the Rings: The Fellowship of the Ring",2001,"winter","2h 58m",8.9,"2.1m","epic","drama","quest","US","english",868000000,"PG-13"
10,"The Good, the Bad and the Ugly",1966,"winter","2h 58m",8.8,"867k","western","dark comedy","action","italy","english italian",38900000,"R"
11,"Forrest Gump",1994,"summer","2h 22m",8.8,"2.4m","epic","drama","romance","US","english",677945399,"PG-13"
12,"The Lord of the Rings: The Two Towers",2002,"winter","2h 59m",8.8,"1.9m","epic","drama","quest","US","english",937900000,"PG-13"
13,"Fight Club",1999,"autumn","2h 19m",8.8,"1.9m","drama","psychological","psychological thriller","US","english",101000000,"R"
14,"Inception",2010,"summer","2h 28m",8.8,"2.7m","sci-fi epic","psychological thriller","action","US","english",839000000,"PG-13"
15,"Star Wars: Episode V - The Empire Strikes Back",1980,"spring","2h 4m",8.7,"1.5m","sci-fi epic","dark fantasy","quest","US","english",549001086,"PG"
16,"The Matrix",1999,"spring","2h 16m",8.7,"2.2m","artificial intelligence","sci-fi","dystopian","US","english",460000000,"R"
17,"Goodfellas",1990,"autumn","2h 25m",8.7,"1.3m","drama","crime","gangster","US","english",47000000,"r"
18,"Interstellar",2014,"autumn","2h 49m",8.7,"2.4","drama","sci-fi","epic","US","english",681000000,"PG-13"
19,"One Flew Over the Cuckoo's Nest",1975,"autumn","2h 13m",8.7,"1.1m","drama","psychological drama","medical drama","US","english",163274115,"R"
20,"Se7en",1995,"autumn","2h 7m",8.6,"1.9m","psychological thriller","drama","mystry","US","english",328908157,"R"
21,"It's a Wonderful Life",1946,"winter","2h 10m",8.6,"534k","drama","romance","psychological drama","US","english",16420592,"PG"
22,"The Silence of the Lambs",1991,"winter","1h 58m",8.6,"1.7m","psychological horror","psychological thriller","horror","US","english",273000000,"R"
23,"Seven Samurai",1954,"spring","3h 27m",8.6,"390k","drama","epic","action","japan","Japanese ",1092319,"Not Rated"
24,"Saving Private Ryan",1998,"summer","2h 49m",8.6,"1.6m","war","drama","tragedy","US","english",482352390,"R"
25,"The Green Mile",1999,"winter","3h 9m",8.6,"1.5m","mystry","drama","supernatural","US","english",286801374,"R"
26,"City of God",2002,"summer","2h 10m",8.6,"848k","gangster","drama","crime","brazil","brazilian",30681033,"R"
27,"Life Is Beautiful",1997,"winter","1h 56m",8.6,"789k","drama","romance","tragedy","italy","italian",230099013,"PG-13"
28,"Terminator 2: Judgment Day",1991,"summer","2h 17m",8.6,"1.2m","sci-fi","action","artificial intelligence","US","english",517778573,"R"
29,"Star Wars: Episode IV - A New Hope",1977,"spring","2h 1m",8.6,"1.5m","quest","sci-fi epic","dark fantasy","US","english",775398507,"PG"
30,"Back to the Future",1985,"summer","1h 56m",8.5,"1.4m","sci-fi","comedy","adventure","US","english",385053307,"PG"
31,"Spirited Away",2001,"summer","2h 4m",8.6,"929k","animation","fantasy","family","japan","japanese",360050166,"PG"
32,"The Pianist",2002,"winter","2h 30m",8.6,"982k","war","drama","tragedy","european","english",120098945,"R"
33,"Gladiator",2000,"spring","2h 35m",8.5,"1.8m","epic","drama","action","US","english",465516248,"R"
34,"Parasite",2019,"autumn","2h 12m",8.5,"1.1m","psychological drama","thriller","tragedy","south korea","korean",262546143,"R"
35,"Psycho",1960,"summer","1h 49m",8.5,"1.1m","psychological thriller","horror","mystry","US","english",32253778,"R"
